Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
0,0,27,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
348,3.241631793,22,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
29,1.702387452,22,ARG,Argentina,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
1,0.404639598,22,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
5,33.372267646,22,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2010 12:00:00 AM
62,2.821753902,22,COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,22,MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,5,JOR,Jordan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.307653023,5,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
9,2.786239691,22,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
6,0.418667403,22,ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,27,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,22,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
3,12.446583413,22,SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
15,7.356962261,27,CRI,Costa Rica,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,22,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
59,4.352024171,27,PER,Peru,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,5,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2014 12:00:00 AM
43,1.764971111,27,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
0,0,5,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
4,0.931952335,27,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
212,10.549625538,22,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2012 12:00:00 AM
3,0.255462860,22,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
1,0.283104868,5,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,22,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
3,7.313416463,22,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,27,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
1,0.303768091,22,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
1,0.068447792,5,ECU,Ecuador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
12,1.008686048,22,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,27,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
1,3.229921997,27,GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,22,LIE,Liechtenstein,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
2,0.643961652,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2012 12:00:00 AM
1,0.183996026,5,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
1,0.407962614,22,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
1,1.173378391,27,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
51,1.528185356,27,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
0.961538462,0.208390658,5,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
0,0,22,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
4,0.920652420,22,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
0,0,27,LIE,Liechtenstein,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
2,13.568521031,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2012 12:00:00 AM
1,0.355206979,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,27,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
249,2.323117680,22,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,27,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
4,2.782782922,27,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
6,2.016013870,27,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
0,0,5,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
4,1.163001999,5,CRI,Costa Rica,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
20,3.993785669,27,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2008 12:00:00 AM
22,0.808744439,5,PER,Peru,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,27,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
2,0.540944056,27,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
10,1.194183134,22,LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
64,1.854231879,22,RUS,Russian Federation,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
19,1.539750690,27,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
17,2.233802958,22,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
372,3.258464705,27,USA,United States of America,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
2,0.698614299,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
6,4.779600664,22,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
0,0,5,BLZ,Belize,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
119,5.671891559,27,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
1,0.073358126,27,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
1,0.333300003,5,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
1,1.018584066,5,LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
3,0.323625468,27,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
15,0.682312393,22,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
2,0.689833578,27,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
3,0.652290191,27,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
4,1.208125246,27,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
45,1.313719022,22,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,27,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
1,0.385377988,27,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
5,5.050224482,27,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
31,1.234617070,22,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
3,5.998020653,27,MUS,Mauritius,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,5,GUY,Guyana,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
1,0.442910007,5,SGP,Singapore,Asia,South-eastern Asia,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
4,3.408926273,27,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
10,1.288022422,22,ECU,Ecuador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
38,1.569353014,27,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2008 12:00:00 AM
14,1.093034831,27,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
16,0.867993865,27,FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
2,0.141399016,22,ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
18,12.927783962,22,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
43,2.494241492,27,ARG,Argentina,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
1,0.228408802,22,AZE,Azerbaijan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
32,0.814314012,5,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2010 12:00:00 AM
0,0,22,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,22,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
24,3.296236934,22,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
278,2.554539064,27,USA,United States of America,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
16,0.442265366,5,FRA,France,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,22,JOR,Jordan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,5,DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
2,0.779477906,5,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,0-9,1/1/2012 12:00:00 AM
11,0.592325348,22,FRA,France,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
26,9.018493114,27,SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
1,0.328302104,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
2,0.569891493,27,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
1,1.351552258,27,XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,27,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
10,0.840200573,27,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
16,1.069922083,27,UZB,Uzbekistan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
168,1.543750226,27,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
8,6.369249265,27,MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
14,0.731693677,5,POL,Poland,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,27,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
14,0.789352091,5,LKA,Sri Lanka,Asia,Southern Asia,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
21,3.050232980,22,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
2,0.656604207,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,22,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,27,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
5,0.681018913,27,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,27,VAT,Holy See,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
32,1.882042404,22,ARG,Argentina,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
2,1.415047616,27,GEO,Georgia,Asia,Western Asia,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,27,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
4,3.261950973,22,URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
1,1.360053858,22,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,22,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
33,7.169221879,27,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
3,0.876402426,27,SWE,Sweden,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,22,MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
1,1.464010951,27,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
2,0.864999524,22,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
14,0.728896368,5,CAN,Canada,Americas,Northern America,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
0,0,27,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
2,4.949698687,22,LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
3,2.209741276,22,JAM,Jamaica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
1,0.543578705,22,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
5,0.610409683,27,LKA,Sri Lanka,Asia,Southern Asia,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
1,0.560627679,27,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,27,AZE,Azerbaijan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
6,0.373928112,27,ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
3,0.906093935,27,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,22,XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,27,MDA,Republic of Moldova,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
6,0.757426567,27,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,5,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
5,0.312781014,27,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
1,0.320727667,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
4,0.479534947,22,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
1,0.403484492,22,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
1,0.422495342,27,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2014 12:00:00 AM
4,1.275500036,22,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
12,0.614725598,5,GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
14,4.310630168,22,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
17,1.071783656,27,DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
2,0.643961652,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
0,0,5,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2013 12:00:00 AM
0,0,5,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,0-9,1/1/2013 12:00:00 AM
72,3.266635739,22,COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
3,0.110480065,5,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2013 12:00:00 AM
0,0,5,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2015 12:00:00 AM
2,2.105684295,27,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2014 12:00:00 AM
46,9.040329697,27,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
6,1.309509000,27,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
1,0.296765405,22,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
8,0.691550378,22,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
0,0,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,27,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,BLZ,Belize,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
1,1.908469789,22,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
0,0,22,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2011 12:00:00 AM
11,0.661710256,27,ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
0,0,5,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
39,1.793991371,27,KEN,Kenya,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
1,0.716352904,5,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2013 12:00:00 AM
0,0,27,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
2,1.051660177,22,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
77,18.760331887,27,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
369,3.421869017,22,USA,United States of America,Americas,Northern America,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
20,2.705973640,27,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,5,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
3,1.115656378,5,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,0-9,1/1/2013 12:00:00 AM
2,0.702205276,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
3,1.742504327,27,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
5,2.673675261,5,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
1,0.598960205,22,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
0,0,27,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
1,0.240171290,5,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2008 12:00:00 AM
2,0.657143561,27,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
1,0.303315696,5,IRL,Ireland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
1,0.677607774,27,MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
89,4.456987442,27,TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
14,0.867293555,27,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
4,0.464368699,27,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
15,1.060607346,27,MAR,Morocco,Africa,Northern Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,27,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
