Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
0,0,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
3,1.248031750,22,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2011 12:00:00 AM
4,2.076740763,27,SVK,Slovakia,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,22,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,22,HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
224,2.132080990,27,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
3,0.639323510,27,JOR,Jordan,Asia,Western Asia,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
1.008264463,0.354246848,22,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2012 12:00:00 AM
0,0,27,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,27,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,5,HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
4,0.165136164,5,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
8,5.745681761,22,JAM,Jamaica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
37,4.765682961,22,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
42,8.222396241,22,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
11,19.097553777,27,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
11,0.879535254,27,PER,Peru,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
3,0.981070250,5,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
0,0,22,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
